,variable,CONTROL mean,CONTROL std,COVID mean,COVID std,p value(test T),p value (test Mann Whitneyu)
0,aparc-a2009s-volume_S_interm_prim-Jensen_lh,0.46252000000000004,0.1866507701564609,0.4400303030303031,0.17399615610024935,0.5703467773218149,0.6741966399724872
0,aparc-a2009s-volume_S_interm_prim-Jensen_mean,0.5263399999999999,0.15592597869929606,0.49070202020202025,0.13336163660635736,0.2511736071591917,0.3115117579275668
0,aparc-a2009s-volume_S_intrapariet_and_P_trans_rh,4.489,0.8964962818290622,4.306494949494949,0.8090224559045969,0.32609644648742964,0.28829278508363254
0,aparc-a2009s-volume_S_intrapariet_and_P_trans_lh,4.15092,0.932720345727128,3.8705656565656574,0.6076223008095952,0.06947432582925518,0.10809235046744857
0,aparc-a2009s-volume_S_intrapariet_and_P_trans_mean,4.31996,0.8244122138428889,4.088530303030303,0.5988569290918624,0.11396539095505331,0.08118740591087167
0,aparc-a2009s-volume_S_oc_middle_and_Lunatus_rh,1.25116,0.2642655987196719,1.2098989898989898,0.3062517803346667,0.5379674292292906,0.692486417659524
0,aparc-a2009s-volume_S_oc_middle_and_Lunatus_lh,1.37464,0.3098461822689875,1.2655252525252525,0.33390055171777655,0.14136288137052616,0.0643519168379161
0,aparc-a2009s-volume_S_oc_middle_and_Lunatus_mean,1.3129,0.24489236581268378,1.2377121212121212,0.2812282743618724,0.22334973663517113,0.13336770549042448
0,aparc-a2009s-volume_S_oc_sup_and_transversal_rh,1.8726799999999997,0.39446342458247424,1.8197878787878785,0.3270080593379698,0.49006922547084497,0.9206226473154383
0,aparc-a2009s-volume_S_oc_sup_and_transversal_lh,1.6690399999999999,0.2829240887588047,1.673080808080808,0.30717899045822156,0.9525187512777229,1.0
0,aparc-a2009s-volume_S_oc_sup_and_transversal_mean,1.77086,0.2697860464022061,1.746434343434343,0.2712537561713469,0.6878552386755981,0.8129171366000736
0,aparc-a2009s-volume_S_occipital_ant_rh,1.15892,0.3144491108801762,1.0941717171717171,0.2679388462212379,0.2996335764556892,0.3781699216815375
